type	file	sector	connection
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector001_macro	Zone005_Cluster_01_Sector01_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_01_Sector003_macro	Zone003_Cluster_01_Sector003_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_03_Sector001_macro	Zone003_Cluster_03_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_06_Sector001_macro	Zone001_Cluster_06_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_15_Sector002_macro	Zone001_Cluster_15_Sector002_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_18_Sector001_macro	Zone001_Cluster_18_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector001_macro	Zone003_Cluster_19_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_19_Sector002_macro	Zone001_Cluster_19_Sector002_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_21_Sector001_macro	Zone003_Cluster_21_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_24_Sector001_macro	Zone002_Cluster_24_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_29_Sector002_macro	Zone001_Cluster_29_Sector002_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_46_Sector001_macro	Zone002_Cluster_46_Sector001_connection_resourceextra_a
asteroid_unspecified	maps/xu_ep2_universe/sectors.xml	Cluster_47_Sector001_macro	Zone002_Cluster_47_Sector001_connection_resourceextra_a
